lon,lat
4.0000,57.0000
5.4211,57.0000
6.8422,57.0000
8.2633,57.0000
9.6844,57.0000
11.1055,57.0000
12.5266,57.0000
13.9477,57.0000
15.3688,57.0000
16.7899,57.0000
18.2110,57.0000
19.6321,57.0000
21.0532,57.0000
22.4743,57.0000
23.8954,57.0000
25.3165,57.0000
26.7376,57.0000
28.1587,57.0000
29.5798,57.0000
31.0000,57.0000
4.0000,57.2857
5.4211,57.2857
6.8422,57.2857
8.2633,57.2857
9.6844,57.2857
11.1055,57.2857
12.5266,57.2857
13.9477,57.2857
15.3688,57.2857
16.7899,57.2857
18.2110,57.2857
19.6321,57.2857
21.0532,57.2857
22.4743,57.2857
23.8954,57.2857
25.3165,57.2857
26.7376,57.2857
28.1587,57.2857
29.5798,57.2857
31.0000,57.2857
4.0000,57.5714
5.4211,57.5714
6.8422,57.5714
8.2633,57.5714
9.6844,57.5714
11.1055,57.5714
12.5266,57.5714
13.9477,57.5714
15.3688,57.5714
16.7899,57.5714
18.2110,57.5714
19.6321,57.5714
21.0532,57.5714
22.4743,57.5714
23.8954,57.5714
25.3165,57.5714
26.7376,57.5714
28.1587,57.5714
29.5798,57.5714
31.0000,57.5714
4.0000,57.8571
5.4211,57.8571
6.8422,57.8571
8.2633,57.8571
9.6844,57.8571
11.1055,57.8571
12.5266,57.8571
13.9477,57.8571
15.3688,57.8571
16.7899,57.8571
18.2110,57.8571
19.6321,57.8571
21.0532,57.8571
22.4743,57.8571
23.8954,57.8571
25.3165,57.8571
26.7376,57.8571
28.1587,57.8571
29.5798,57.8571
31.0000,57.8571
59.8189167,10.5646944
61.8189167,10.5646944
61.8189,10.5646
60.391263, 5.322054
60.3912, 5.3220
5.3220,60.3912
6.183500,62.412056
